Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-03-13,2026-03-14,3934,USPS PO 1782010024,Other Services,0.29,
2026-03-13,2026-03-14,3934,WAL-MART #1459,Merchandise,35.60,
2026-03-12,2026-03-14,3934,STEAK-N-SHAKE#0159 Q99,Dining,26.82,
2026-03-12,2026-03-13,3934,1278 GREAT CLIPS FORTUNE,Other Services,50.00,
2026-03-11,2026-03-12,3934,PETSMART # 1065,Merchandise,13.90,
2026-03-11,2026-03-12,3934,PETSMART # 1065,Merchandise,127.00,
2026-03-10,2026-03-12,3934,CHEDDAR'S ZK 0202160,Dining,67.84,
2026-03-09,2026-03-10,3934,TARGET        00017897,Merchandise,12.40,
2026-03-09,2026-03-10,9437,AMAZON MKTPL*BE9DV9K90,Merchandise,29.45,
2026-03-08,2026-03-09,3934,WM SUPERCENTER #1459,Merchandise,47.88,
2026-03-07,2026-03-09,3934,EL TORO LLC,Other Services,24.55,
2026-03-08,2026-03-09,3934,AMAZON MKTPL*BE8EZ5830,Merchandise,15.54,
2026-03-07,2026-03-09,3934,TARGET        00017897,Merchandise,59.24,
2026-03-07,2026-03-09,3934,BB LIQUORS,Merchandise,27.26,
2026-03-07,2026-03-09,3934,BP#8832339GETGO #7579,Gas/Automotive,6.72,
2026-03-06,2026-03-07,3934,SPOTIFY,Phone/Cable,11.99,
2026-03-06,2026-03-07,3934,SPEEDWAY 43692,Gas/Automotive,48.64,
2026-03-04,2026-03-05,9437,UBER   *EATS,Dining,38.49,
2026-03-03,2026-03-04,3934,WM SUPERCENTER #1459,Merchandise,20.09,
2026-03-02,2026-03-03,3934,WAL-MART #1459,Merchandise,66.50,
2026-03-01,2026-03-03,3934,McDonalds 26729,Dining,21.75,
2026-03-01,2026-03-02,3934,SPEEDWAY 43779,Gas/Automotive,8.18,
2026-02-28,2026-03-02,3934,PAPA JOHNS #199,Dining,11.41,
2026-02-27,2026-02-28,3934,SPEEDWAY 43726,Gas/Automotive,8.45,
2026-02-27,2026-02-28,3934,LAMPING CLEANERS- BEECH G,Other Services,15.91,
2026-02-28,2026-02-28,9437,MED*CTR FOR DIAGNOSTIC IM,Health Care,,35.21
2026-02-27,2026-02-28,9437,UBER   *EATS,Dining,30.87,
2026-02-27,2026-02-28,9437,UBER   *TRIP,Other Travel,32.54,
2026-02-26,2026-02-27,3934,WOODLAND BOWL,Dining,17.93,
2026-02-26,2026-02-27,3934,KFC G135808,Dining,20.20,
2026-02-26,2026-02-27,3934,SPEEDWAY 43692,Gas/Automotive,10.70,
2026-02-26,2026-02-27,3934,GERBER COLLISION & GLASS,Gas/Automotive,105.62,
2026-02-26,2026-02-27,3934,GERBER COLLISION & GLASS,Gas/Automotive,2243.33,
2026-02-25,2026-02-26,3934,LAMPING CLEANERS- BEECH G,Other Services,18.91,
2026-02-25,2026-02-26,9437,EBAY O*01-14301-84090,Merchandise,20.32,
2026-02-25,2026-02-26,9437,EBAY O*01-14301-84089,Merchandise,50.65,
2026-02-25,2026-02-26,9437,EBAY O*01-14301-84088,Merchandise,16.04,
2026-02-25,2026-02-26,9437,EBAY O*01-14301-84087,Merchandise,21.39,
2026-02-25,2026-02-26,9437,EBAY O*01-14301-84086,Merchandise,26.78,
2026-02-23,2026-02-25,3934,DENNY'S #7556,Dining,34.92,
2026-02-25,2026-02-25,9437,UBER   *ONE MEMBERSHIP,Other Travel,9.99,
2026-02-23,2026-02-24,3934,THORNTONS 231110,Gas/Automotive,6.08,
2026-02-23,2026-02-24,3934,BATH & BODY WORKS 3053,Merchandise,54.89,
2026-02-22,2026-02-24,3934,TST*ANTHONYS CHOPHOUSE,Dining,212.39,
2026-02-24,2026-02-24,9437,UBER   *TRIP,Other Travel,39.95,
2026-02-22,2026-02-23,3934,WM SUPERCENTER #1459,Merchandise,54.15,
2026-02-21,2026-02-23,3934,TACO BELL 73001064,Dining,27.96,
2026-02-21,2026-02-23,3934,KROGER #992,Merchandise,19.18,
2026-02-20,2026-02-21,3934,Spotify P3F8D68AEA,Phone/Cable,12.99,
2026-02-20,2026-02-21,3934,SPEEDWAY 43692,Gas/Automotive,29.18,
2026-02-19,2026-02-20,3934,WOODLAND BOWL,Dining,12.81,
2026-02-19,2026-02-20,3934,SPEEDWAY 43692,Gas/Automotive,6.29,
2026-02-19,2026-02-20,3934,FIREHOUSE SUBS 0616 QSR,Dining,27.65,
2026-02-18,2026-02-19,9437,UBER   *EATS,Dining,32.12,
2026-02-17,2026-02-18,3934,WM SUPERCENTER #1459,Health Care,26.96,
2026-02-17,2026-02-18,3934,TST* CONDADO TACOS - CARM,Dining,52.04,
2026-02-16,2026-02-16,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1747.78
2026-02-15,2026-02-16,3934,WAL-MART #1459,Merchandise,33.99,
2026-02-14,2026-02-16,3934,COOPERS HAWK INDIANAPOLI,Dining,88.43,
2026-02-13,2026-02-14,3934,AMC 6381 INDIANAPOLIS,Entertainment,34.51,
2026-02-13,2026-02-14,3934,AMC 6381 INDIANAPOLIS,Entertainment,27.98,
2026-02-12,2026-02-14,3934,BURGER KING #21442,Dining,23.73,
2026-02-12,2026-02-14,3934,OLD NATIONAL CENTER EGYPT,Dining,32.61,
2026-02-12,2026-02-14,3934,IU PARKING OPS-GARAGES,Other,5.00,
2026-02-12,2026-02-13,3934,SPEEDWAY 43692,Gas/Automotive,33.84,
2026-02-10,2026-02-10,9437,UBER   *TRIP,Other Travel,40.77,
2026-02-10,2026-02-10,9437,UBER   *TRIP,Other Travel,40.93,
2026-02-09,2026-02-10,9437,UBER   *EATS,Dining,60.27,
2026-02-08,2026-02-09,3934,WM SUPERCENTER #1459,Merchandise,107.86,
2026-02-08,2026-02-09,3934,Store,Dining,3.47,
2026-02-07,2026-02-09,3934,PIZZA HUT 034867,Dining,23.74,
2026-02-07,2026-02-09,3934,SPEEDWAY 43828,Gas/Automotive,6.18,
2026-02-06,2026-02-07,3934,CULVERS OF AVON,Dining,28.43,
2026-02-06,2026-02-07,3934,SPOTIFY,Phone/Cable,11.99,
2026-02-05,2026-02-06,3934,WOODLAND BOWL,Dining,9.92,
2026-02-05,2026-02-06,3934,SPEEDWAY 43692,Gas/Automotive,33.40,
2026-02-05,2026-02-06,3934,MCDONALD'S F40669,Dining,9.91,
2026-02-03,2026-02-04,3934,SPEEDWAY 43692,Gas/Automotive,39.12,
2026-02-03,2026-02-04,3934,WM SUPERCENTER #1459,Merchandise,32.63,
2026-02-01,2026-02-02,3934,WM SUPERCENTER #1459,Health Care,1.60,
2026-02-01,2026-02-02,3934,WM SUPERCENTER #1459,Merchandise,37.56,
2026-02-01,2026-02-02,3934,KOHL'S #0134,Merchandise,16.04,
2026-01-30,2026-01-31,9437,UBER   *EATS,Dining,22.99,
2026-01-30,2026-01-31,9437,UBER   *TRIP,Other Travel,29.98,
2026-01-29,2026-01-30,3934,WOODLAND BOWL,Dining,6.54,
2026-01-29,2026-01-30,3934,PANDA EXPRESS #2857,Dining,23.87,
2026-01-29,2026-01-30,3934,TST* CONDADO TACOS - GREE,Dining,53.25,
2026-01-28,2026-01-30,3934,USCONNECT CLVND VNLC,Dining,3.15,
2026-01-28,2026-01-29,3934,KRISPY KREME #183,Dining,21.97,
2026-01-27,2026-01-28,3934,WM SUPERCENTER #5408,Merchandise,46.79,
2026-01-27,2026-01-28,3934,BURGER KING #21442,Dining,9.47,
2026-01-26,2026-01-27,3934,WAL-MART #1459,Merchandise,65.89,
2026-01-27,2026-01-27,9437,UBER   *TRIP,Other Travel,36.83,
2026-01-27,2026-01-27,9437,UBER   *TRIP,Other Travel,39.12,
2026-01-24,2026-01-26,3934,MARCOS PIZZA 1192,Dining,13.07,
2026-01-24,2026-01-26,3934,SPEEDWAY 43780,Gas/Automotive,6.18,
2026-01-23,2026-01-24,3934,SPEEDWAY 43692,Gas/Automotive,40.40,
2026-01-22,2026-01-24,3934,PIZZA HUT 034869,Dining,9.25,
2026-01-23,2026-01-24,9437,UBER   *TRIP,Other Travel,30.55,
2026-01-22,2026-01-23,3934,WOODLAND BOWL,Dining,11.28,
2026-01-21,2026-01-22,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2500.00
2026-01-21,2026-01-22,3934,WAL-MART #1459,Merchandise,26.08,
2026-01-21,2026-01-22,3934,CRUMBL GREENWOOD,Dining,16.49,
2026-01-20,2026-01-21,3934,Spotify P3E94A0D34,Phone/Cable,11.99,
2026-01-20,2026-01-20,9437,UBER   *EATS,Dining,60.19,
2026-01-20,2026-01-20,9437,UBER   *TRIP,Other Travel,40.20,
2026-01-20,2026-01-20,9437,UBER   *TRIP,Other Travel,29.09,
2026-01-18,2026-01-19,3934,WM SUPERCENTER #1459,Health Care,20.15,
2026-01-18,2026-01-19,3934,WM SUPERCENTER #1459,Merchandise,43.83,
2026-01-18,2026-01-19,3934,WALMART.COM 8009256278,Merchandise,15.46,
2026-01-19,2026-01-19,9437,UBER   *TRIP,Other Travel,14.36,
2026-01-16,2026-01-17,3934,BURGER KING #21442,Dining,35.34,
2026-01-16,2026-01-17,3934,KROGER #992,Merchandise,11.75,
2026-01-15,2026-01-16,3934,WAL-MART #1459,Health Care,6.59,
2026-01-14,2026-01-15,3934,SPEEDWAY 43692,Gas/Automotive,40.68,
2026-01-14,2026-01-15,3934,GEICO  *AUTO,Insurance,525.03,
2026-01-14,2026-01-15,3934,TST* NOTHING BUNDT CAKES,Dining,14.78,
2026-01-15,2026-01-15,9437,UBER   *TRIP,Other Travel,24.94,
2026-01-15,2026-01-15,9437,UBER   *TRIP,Other Travel,26.71,
2026-01-13,2026-01-14,3934,WM SUPERCENTER #1459,Health Care,31.35,
2026-01-14,2026-01-14,9437,UBER   *TRIP,Other Travel,12.62,
2026-01-14,2026-01-14,9437,UBER   *TRIP,Other Travel,13.18,
2026-01-13,2026-01-14,9437,UBER   *EATS,Dining,18.08,
2026-01-12,2026-01-13,9437,WALMART.COM,Merchandise,10.15,
2026-01-11,2026-01-12,3934,WAL-MART #1459,Merchandise,68.80,
2026-01-11,2026-01-12,9437,WWW.TORRID.COM,Merchandise,65.98,
2026-01-11,2026-01-12,9437,TORRID #5323,Merchandise,,62.92
2026-01-11,2026-01-12,9437,TORRID #5323,Merchandise,,11.29
2026-01-12,2026-01-12,9437,UBER   *TRIP,Other Travel,22.13,
2026-01-10,2026-01-12,3934,BP#8832339GETGO #7579,Gas/Automotive,6.72,
2026-01-10,2026-01-12,3934,TST* FAMOUS DAVE'S - 2130,Dining,55.88,
2026-01-09,2026-01-12,3934,TST*FOUNTAIN SQUARE THEA,Dining,30.00,
2026-01-09,2026-01-12,3934,TST*FOUNTAIN SQUARE THEA,Dining,12.00,
2026-01-09,2026-01-10,9437,WWW.TORRID.COM,Merchandise,82.24,
2026-01-09,2026-01-09,9437,SP CURVEVERA.SHOP,Merchandise,31.98,
2026-01-08,2026-01-09,9437,UBER   *EATS,Dining,27.61,
2026-01-08,2026-01-09,9437,UBER   *EATS,Dining,20.53,
2026-01-07,2026-01-08,3934,SPEEDWAY 43692,Gas/Automotive,39.05,
2026-01-06,2026-01-07,3934,SPOTIFY,Phone/Cable,11.99,
2026-01-05,2026-01-06,3934,TARGET        00017897,Merchandise,11.02,
2026-01-04,2026-01-06,9437,KOHL'S #0134,Merchandise,,112.30
2026-01-05,2026-01-06,9437,UBER   *TRIP,Other Travel,17.02,
2026-01-04,2026-01-05,3934,WAL-MART #1459,Merchandise,141.80,
2026-01-05,2026-01-05,9437,WWW.TORRID.COM,Merchandise,43.94,
2026-01-05,2026-01-05,9437,WWW.TORRID.COM,Merchandise,62.92,
2026-01-04,2026-01-05,9437,TORRID #5323,Merchandise,,45.90
2026-01-05,2026-01-05,9437,UBER   *TRIP,Other Travel,15.43,
2026-01-04,2026-01-05,3934,BETTER OFF BOWLING,Other Services,89.00,
2026-01-03,2026-01-05,3934,PANDA EXPRESS #1308 P,Dining,18.53,
2026-01-03,2026-01-05,3934,SPEEDWAY 43731,Gas/Automotive,3.20,
2026-01-03,2026-01-05,9437,WWW.TORRID.COM,Merchandise,29.37,
2026-01-04,2026-01-05,9437,BETTER OFF BOWLING,Other Services,89.00,
2026-01-01,2026-01-02,3934,WM SUPERCENTER #1459,Merchandise,5.85,
2025-12-31,2026-01-02,3934,BURGER KING #12445,Dining,18.94,
2025-12-31,2026-01-02,3934,McDonalds 4407,Dining,1.62,
2025-12-31,2026-01-02,3934,MCDONALD'S F1569,Dining,10.22,
2025-12-31,2026-01-02,3934,SQ *SULLY'S GRILL,Dining,18.53,
2025-12-31,2026-01-02,9437,WWW.TORRID.COM,Merchandise,22.36,

